"Symbol" "baseline" "Symptomatic" "Asymptomatic"
"SNORA31" 0.11983652534631 0.773326811159367 0.630685305155702
"S100A4" 0.129977145905581 0.307493607106508 0.221032089874605
"HLA-F" 0.117458859590196 0 0.197760715753286
"GAPDH" 0 0 0.184675887566855
"HBG2" 0.102655671638368 0 0
"HBG1" 0.102655671638368 0 0
"S100A11" 0 0 0
"PFN1" 0.142034127585253 0.572028230927504 0.197267837941134
"RPL18" 0.152088463888173 0.926184011994929 0.221154381441035
"HLA-DRB1" 0.134228275770576 0.305227741657291 0
"RPL3P4" 0 1.38350169547397 0.185266301686006
"RPL3" 0 1.38350169547397 0.185266301686006
"RPL3P7" 0 1.38350169547397 0.185266301686006
"SERPINA1" 0 0.241022916283508 0.204518713126266
"RACK1" 0.110689481938714 1.34021528399783 0.327017785495563
"RPS3" 0.114408190896342 1.04016388801462 0
"EEF1G" 0 2.03377457119395 0.182268193052628
"MIR3654" 0 2.03377457119395 0.182268193052628
"CCNI" 0 0.336272456134349 0
"RPS14" 0.133998116860347 0.240548711997769 0
"RPL29" 0.109962967683084 0.997171218369489 0.21497656627096
"RPL29P11" 0.109962967683084 0.997171218369489 0.21497656627096
"R3HDM4" 0.111194067171979 0 0
"RPL12P16" 0.156964477674815 0 0
"NBEAL1" 0.156964477674815 0 0
"RPL12P4" 0.156964477674815 0 0
"RPL12" 0.156964477674815 0 0
"RPS13P2" 0.147097096475779 0 0
"RPS13" 0.147097096475779 0 0
"IGKC" 0 0.315338587955428 0
"GYPC" 0.10608440690493 0 0
"GABARAP" 0.22464144603441 0.5397070720908 0
"LITAF" 0 0.269955384529264 0.194047302518992
"YBX3" 0.131851997802598 0 0
"CYBA" 0.101297527803787 0 1.09755076167418
"RPL8" 0.153201956078734 0 0
"MIR6850" 0.153201956078734 0 0
"NACA" 0.138669604513049 0 0.385173924202062
"GPX1P1" 0 0.330512149308852 0.18858996501052
"GPX1" 0 0.330512149308852 0.18858996501052
"ALDOA" 0 0.860550487261225 0.18481267301774
"CORO1A" 0.103866820062079 1.53171504685532 0.429902631368304
"PCBP2" 0.209728375921664 0 0
"MCL1" 0.125731397993031 0 0
